crenglon,renglon
174,MANT. Y REP. DE INSTALACIONES
175,MANT. Y REP. DE  CONSTRUCCIONES MILITARES
176,MANT. Y REP. DE  OTRAS OBRAS E INSTALACIONES
181,"ESTUDIOS, INVEST. Y PROYECTOS DE FACTIBILIDAD"
182,SERVICIOS MEDICO-SANITARIOS
183,SERVICIOS JURIDICOS
184,"SERV. ECONOMICOS, CONTABLES Y DE AUDITORIA"
185,SERVICIOS DE CAPACITACION
186,SERV. DE INFORMATICA Y SISTEMAS COMPUT.
187,SERVICIOS POR ACTUACIONES ARTISTICAS Y DEPORTIVAS
188,"SERV. DE ING., ARQ. Y SUPERVISION DE OBRAS"
189,OTROS ESTUDIOS Y/O SERVICIOS
191,PRIMAS Y GASTOS DE SEGUROS Y FIANZAS
192,COM. A RECEPTORES FISCALES Y RECAUDADORES
194,"GASTOS BANCARIOS, COMISIONES Y OTROS GASTOS"
195,"IMPUESTOS, DERECHOS Y TASAS"
196,SERVICIOS DE ATENCION Y PROTOCOLO
197,SERVICIOS DE VIGILANCIA
198,RECOMPENSAS PARA SEGURIDAD DEL ESTADO
199,OTROS SERVICIOS NO PERSONALES
211,ALIMENTOS PARA PERSONAS
212,ALIMENTOS PARA ANIMALES
213,PRODUCTOS ANIMALES
214,"PRODUCTOS AGROFORESTALES, MADERA, CORCHO Y SUS MANUFACTURAS"
215,PROD. AGROPECUARIOS PARA COMERCIALIZACION
219,OTROS ALIMENTOS Y PRODUCTOS AGROPECUARIOS
221,CARBON MINERAL
223,"PIEDRA, ARCILLA Y ARENA"
224,"POMEZ, CAL Y YESO"
225,MINERALES NO METALICOS
229,OTROS MINERALES
231,HILADOS Y TELAS
232,ACABADOS TEXTILES
233,PRENDAS DE VESTIR
239,OTROS TEXTILES Y VESTUARIO
241,PAPEL DE ESCRITORIO
242,"PAPELES COMERCIALES, CARTONES Y OTROS"
243,PRODUCTOS DE PAPEL O CARTON
244,PRODUCTOS DE ARTES GRAFICAS
245,"LIBROS, REVISTAS Y PERIODICOS"
246,TEXTOS DE ENSEÑANZA
247,ESPECIES TIMBRADAS Y VALORES
249,"OTROS PRODUCTOS DE PAPEL, CARTON E IMPRESOS"
251,CUEROS Y PIELES
252,ARTICULOS DE CUERO
253,LLANTAS Y NEUMATICOS
254,ARTICULOS DE CAUCHO
261,ELEMENTOS Y COMPUESTOS QUIMICOS
262,COMBUSTIBLES Y LUBRICANTES
263,ABONOS Y FERTILIZANTES
264,"INSECTICIDAS, FUMIGANTES Y SIMILARES"
265,ASFALTO Y SIMILARES
266,PRODUCTOS MEDICINALES Y FARMACEUTICOS
267,"TINTES, PINTURAS Y COLORANTES"
268,"PRODUCTOS PLASTICOS, NYLON, VINIL Y P.V.C."
269,OTROS PRODUCTOS QUIMICOS Y CONEXOS
271,PRODUCTOS DE ARCILLA
272,PRODUCTOS DE VIDRIO
273,PRODUCTOS DE LOZA Y PORCELANA
274,CEMENTO
275,"PROD. DE CEMENTO, POMEZ, ASBESTO Y YESO"
279,OTROS PRODUCTOS DE MINERALES NO METALICOS
281,PRODUCTOS SIDERURGICOS
282,PRODUCTOS METALURGICOS NO FERRICOS
283,PRODUCTOS DE METAL
284,ESTRUCTURAS METALICAS ACABADAS
285,MATERIALES Y EQUIPOS DIVERSOS
286,HERRAMIENTAS MENORES
289,OTROS PRODUCTOS METALICOS
291,UTILES DE OFICINA
292,UTILES DE LIMPIEZA Y PRODUCTOS SANITARIOS
293,UTILES EDUCACIONALES Y CULTURALES
294,UTILES DEPORTIVOS Y RECREATIVOS
295,UTILES MENORES MEDICO-QUIRURGICOS Y DE LAB.
296,UTILES DE COCINA Y COMEDOR
297,"UTILES, ACCESORIOS Y MATERIALES ELECTRICOS"
298,ACCESORIOS Y REPUESTOS EN GENERAL
299,OTROS MATERIALES Y SUMINISTROS
311,TIERRAS Y TERRENOS
312,"EDIFICIOS, ESTRUCTURAS E INSTALACIONES"
313,OTROS BIENES MUEBLES PREEXISTENTES
321,MAQUINARIA Y EQUIPO DE PRODUCCION
322,EQUIPO DE OFICINA
323,EQUIPO MEDICO-SANITARIO Y DE LABORATORIO
324,"EQUIPO EDUCACIONAL, CULTURAL Y RECREATIVO"
325,EQUIPO DE TRANSPORTE
326,EQUIPO PARA COMUNICACIONES
327,MAQUINARIA Y EQUIPO PARA LA CONSTRUCCION
328,EQUIPO DE COMPUTO
329,OTRAS MAQUINARIAS Y EQUIPOS
331,CONST. DE BIENES NAC. DE USO COMUN
332,CONST. DE BIENES NAC. DE USO NO COMUN
341,EQUIPO MILITAR Y DE SEGURIDAD
351,"LIBROS, REV. Y OTROS ELEMENTOS COLECCIONABLES"
371,ANIMALES
381,ACTIVOS INTANGIBLES
411,AYUDA PARA FUNERALES
412,PRESTACIONES POSTUMAS
413,INDEMNIZACIONES AL PERSONAL
415,VACACIONES PAGADAS POR RETIRO
416,BECAS DE ESTUDIO EN EL INTERIOR
417,BECAS DE ESTUDIO EN EL EXTERIOR
419,OTRAS TRANSFERENCIAS A PERSONAS INDIVIDUALES
421,PENSIONES
422,JUBILACIONES Y/O RETIROS
426,GASTOS DE ENTIERRO
429,OTRAS PRESTACIONES Y PENSIONES
431,TRANSFERENCIAS A INSTITUCIONES DE ENSEÑANZA
432,TRANS. A  INST. DE SALUD Y ASISTENCIA SOCIAL
435,TRANSFERENCIAS A  OTRAS INSTITUCIONES SIN FINES DE LUCRO
437,TRANS. A  EMPRESAS PRIVADAS
441,TRANS. AL ORGANISMO JUDICIAL
442,TRANS. A  LA CORTE DE CONSTITUCIONALIDAD
443,TRANS. A  LA UNIVERSIDAD DE SAN CARLOS DE GUATEMALA
444,TRANS. A  MUNICIPALIDADES
445,TRANS. AL DEPORTE
448,OTRAS TRANSFERENCIAS A MUNICIPALIDADES
451,TRANSFERENCIAS A LA ADMINISTRACIÓN CENTRAL
453,TRANS. A ENTIDADES DESCENT. Y AUT. NO FINAN.
461,TRANS. A  EMPRESAS PUBLICAS NO FINANCIERAS
471,TRANS. A GOBIERNOS EXTRANJEROS
472,TRANSFERENCIAS A ORGANISMOS E INSTITUCIONES INTERNACIONALES
473,TRANS. A  ORGANISMOS REGIONALES
482,TRANSFERENCIAS A ENTIDADES PÚBLICAS MUNICIPALES DE SEGURIDAD SOCIAL
511,TRANSFERENCIAS A  PERSONAS INDIVIDUALES Y UNIDADES FAMILIARES
512,TRANS. A  INSTITUCIONES SIN FINES DE LUCRO
521,TRANS. AL ORGANISMO JUDICIAL
522,TRANS. A  LA UNIVERSIDAD DE SAN CARLOS DE GUATE.
523,TRANS. A  LAS MUNICIPALIDADES
531,TRANSFERENCIAS A LA ADMINISTRACIÓN CENTRAL
532,TRANS. A  LOS CONSEJOS DE DESARROLLO URBANO Y RURAL
533,TRANS. A ENTIDADES DESCENT. Y AUTONOMAS NO FINAN.
534,TRANS. A INSTITUCIONES PUBLICAS FINANCIERAS
541,TRANS. A  EMPRESAS PUBLICAS NO FINAN.
565,TRANSFERENCIAS A ENTIDADES PUBLICAS MUNICIPALES FINANCIERAS
641,PREST. AL SECTOR PRIVADO
714,INTERESES DE LA DEUDA INTERNA A LARGO PLAZO
715,COM. Y OTROS GTOS. DE LA DEUDA INT. A LGO. PL.
717,DESCUENTOS DE DEUDA INTERNA A LARGO PLAZO
718,AMORTIZACIÓN DE PRIMAS DE LA DEUDA INTERNA A LARGO PLAZO
719,AMORTIZACION DEFICIENCIAS NETAS DEL BANCO DE GUATEMALA
724,INT. DE LA DEUDA EXT. A LGO. PL.
727,DESCUENTOS DE DEUDA EXTERNA A LARGO PLAZO
734,INT. POR PREST. DEL SECTOR EXTERNO.
738,COM. Y GASTOS POR PREST. DEL SCTOR. EXT.
757,AMORT. DE PREST. DE GOBIERNOS EXTRANJEROS
758,AMORT. DE PREST. DE ORG. E INST. REG. E INTERNAC.
823,DEVOLUCIONES
911,EMERGENCIAS Y CALAMIDADES PUBLICAS
913,SENTENCIAS JUDICIALES
914,GASTOS NO PREVISTOS
